"siren","nom","url_platform","id_datagouv","techno_platform"
215703067,"HAYANGE",,"62a89fbfb8f6d9a20dfe277f","DataGouv"
215002411,"HEMEVEZ",,,"DataGouv"
223400011,"HERAULT","https://www.herault-data.fr/explore/?disjunctive.publisher&sort=modified&refine.publisher=Conseil+D%C3%A9partemental+de+l%27H%C3%A9rault","59087a45c751df5a2a2c425f","OpenDataSoft, DataGouv"
322148834,"HERAULT TOURISME","https://www.herault-data.fr/explore/?disjunctive.publisher&sort=modified&disjunctive.theme&disjunctive.features&disjunctive.keyword&refine.publisher=H%C3%A9rault+Tourisme+%2F+Offices+de+Tourisme+de+l%27H%C3%A9rault",,"OpenDataSoft"
214400723,"HERBIGNAC","https://data.paysdelaloire.fr/explore/?disjunctive.diffuseur&disjunctive.gestionnaire&disjunctive.publisher&source=shared&sort=title&refine.publisher=Herbignac",,"OpenDataSoft"
216402651,"HOSTA",,"6100231ea4ed64fb35eba62f","DataGouv"
215903162,"HOUPLIN-ANCOISNE",,"609e908036c716d80d0036bd","DataGouv"
775684483,"IAU ILE DE FRANCE","https://data-iau-idf.opendata.arcgis.com/search?collection=Dataset","534fff7da3a7292c64a77e23","ArcGIS"
216402677,"IBARROLLE",,"61bc55d54716392f7285b225","DataGouv"
213501331,"IFFENDIC",,"5b32535988ee380dd6e257de","DataGouv"
216402719,"IHOLDY",,"61d5768a63006047833357f0","DataGouv"
237500079,"ILE DE FRANCE","https://data.iledefrance.fr/explore/?refine.publisher=R%C3%A9gion+%C3%8Ele-de-France","534fffa8a3a7292c64a780c8","OpenDataSoft, DataGouv"
287500078,"ILE DE FRANCE MOBILITES","https://data.iledefrance-mobilites.fr/explore/?q=&disjunctive.theme&disjunctive.keyword&disjunctive.publisher&disjunctive.modified&disjunctive.features&disjunctive.language&sort=modified&refine.publisher=%C3%8Ele-de-France+Mobilit%C3%A9s","568e5e9488ee38033aaf0bf4","Spécifique, DataGouv"
223500018,"ILE ET VILAINE",,"5d15cbed8b4c411740bae4bc","DataGouv"
223600016,"INDRE",,"5a82f34188ee380c10423e48","DataGouv"
223700014,"INDRE ET LOIRE","https://data-cd37.opendata.arcgis.com/search","5733002788ee384aabd1b934","ArcGIS, DataGouv"
259401099,"INFOCOM'94","https://data.infocom94.fr/portail?facet.field=[%22organization%22,%22tags%22,%22theme%22,%22features%22]&rows=10&start=0&fq=organization:(infocom94)",,
215600909,"INZINZAC LOCHRIST","https://data-catalogue.megalis.bretagne.bzh/fr/organizations/commune-de-inzinzac-lochrist/",,
223800012,"ISERE","https://opendata.isere.fr/explore/?sort=modified&refine.publisher=D%C3%A9partement+de+l%27Is%C3%A8re","5bb1c7e4634f412a95dff6b9","OpenDataSoft, DataGouv"
219200409,"ISSY LES MOULINEAUX","https://data.issy.com/explore/?disjunctive.features&disjunctive.theme&disjunctive.keyword&disjunctive.publisher&sort=modified&refine.publisher=Ville+d%27Issy-les-Moulineaux","534fffb7a3a7292c64a78145","OpenDataSoft, DataGouv"
211300470,"ISTRES","https://www.istres.fr/index.php?id=618",,"Typo3"
216402776,"ISTURITS",,"5fcbe82955ec036c718848c0","DataGouv"
216402792,"ITXASSOU",,"5da489756f44414bcf4c45dd","DataGouv"
