type;siren;nom;longitude;latitude
CA;244000808;CA Mont-de-Marsan Agglomération;-0.50031;43.891274
CC;244000824;CC du Pays Grenadois;-0.426188;43.787842
CC;244000857;CC Côte Landes Nature;-1.141706;43.881744
CC;244000865;CC Maremne Adour Côte Sud;-1.305453;43.659948
CC;244000873;CC des Grands Lacs;-1.058449;44.342411
CC;244000881;CC Coteaux et Vallées des Luys;-0.743909;43.593923
CC;244100293;CC des Collines du Perche;0.900322;47.981584
CC;244100780;CC de la Sologne des Étangs;1.793827;47.533977
CC;244100798;CC du Grand Chambord;1.544611;47.550745
CC;244100806;CC de la Sologne des Rivières;2.030474;47.42158
CC;244200614;CC des Vals d'Aix et Isable;4.009052;45.831193
CC;244200622;CC des Monts du Pilat;4.563439;45.299585
CC;244200630;CC du Pays entre Loire et Rhône;4.225639;45.941626
MET;244200770;Saint-Etienne Métropole;4.370045;45.430195
CC;244200820;CC du Pays d'Urfé;3.835236;45.918182
CC;244200895;CC du Pilat Rhodanien;4.664006;45.423627
CC;244300307;CC du Pays de Montfaucon;4.324318;45.184728
CC;244301016;CC des Sucs;4.125107;45.139056
CC;244301099;CC Auzon Communauté;3.318117;45.401383
CC;244301107;CC du Haut-Lignon;4.296668;45.117395
CC;244301123;CC des Pays de Cayres et de Pradelles;3.850071;44.893517
CC;244301131;CC Loire et Semène;4.246514;45.300318
MET;244400404;Nantes Métropole;-1.555335;47.239367
CC;244400438;CC Grand Lieu Communauté;-1.59922;47.088609
CC;244400453;CC de la Région de Blain;-1.779167;47.462786
CC;244400503;CC d'Erdre et Gesvres;-1.621291;47.362472
CC;244400537;CC de Nozay;-1.599334;47.575281
CC;244400552;CC du Pays d'Ancenis;-1.197698;47.385301
CC;244400586;CC du Sud Estuaire;-2.028652;47.28567
CA;244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);-2.363461;47.288754
CA;244400644;CA de la Région Nazairienne et de l'Estuaire (CARENE);-2.242494;47.275247
CA;244500203;CA Montargoise et Rives du Loing (A.M.E.);2.735439;47.998323
CC;244500211;CC Giennoises;2.655309;47.691089
CC;244500419;CC des Quatre Vallées;2.807126;48.109986
CC;244500427;CC des Loges;2.223164;47.872743
MET;244500468;Orléans Métropole;1.910372;47.873361
CC;244500484;CC de la Forêt;2.051943;48.070106
CC;244500542;CC de la Plaine du Nord Loiret;2.047449;48.164554
CC;244600433;CC de la Vallée du Lot et du Vignoble;1.139046;44.500949
CC;244600482;CC Quercy - Bouriane;1.373531;44.737928
CC;244600532;CC du Pays de Lalbenque-Limogne;1.564804;44.337504
CC;244600573;CC du Causse de Labastide-Murat;1.603185;44.648604
CC;244700449;CC du Pays de Duras;0.198811;44.677667
CC;244700464;CC du Pays de Lauzun;0.465633;44.639318
CC;244701355;CC des Coteaux et Landes de Gascogne;0.118398;44.375234
CC;244701405;CC Lot et Tolzac;0.488846;44.407461
CC;244800405;CC Cœur de Lozère;3.484851;44.526181
CC;244800470;CC du Gévaudan;3.29374;44.5578
CU;244900015;CU Angers Loire Métropole;-0.56191;47.466735
CC;244900809;CC Anjou Bleu Communauté;-0.846339;47.710424
CC;244900882;CC Baugeois Vallée;-0.095428;47.555466
CC;245100615;CC de la Grande Vallée de la Marne;4.037171;49.049939
CC;245100888;CC de la Brie Champenoise;3.558269;48.867973
CC;245100979;CC du Sud Marnais;3.9976;48.758005
CC;245200597;CC des Trois Forêts;4.911952;48.029531
CC;245300223;CC du Pays de Meslay-Grez;-0.548596;47.947642
CC;245300355;CC de l'Ernée;-0.932244;48.305923
CC;245300389;CC du Bocage Mayennais;-0.803043;48.420028
CC;245300447;CC du Pays de Château-Gontier;-0.694321;47.819956
CC;245400171;CC Moselle et Madon;6.106616;48.619336
CC;245400189;CC des Pays du Sel et du Vermois;6.35778;48.619585
CA;245400262;CA Grand Longwy Agglomération;5.768938;49.521585
CC;245400510;CC du Pays de Colombey et du Sud Toulois;5.893556;48.528751
CC;245400601;CC du Bassin de Pompey;6.124736;48.770683
MET;245400676;Métropole du Grand Nancy;6.171586;48.688135
CC;245400759;CC du Pays du Sanon;6.480195;48.655171
CC;245500327;CC du Sammiellois;5.542342;48.891687
CC;245501176;CC du Territoire de Fresnes-en-Woëvre;5.631304;49.095248
CC;245501184;CC du Pays de Revigny-sur-Ornain;4.985088;48.825749
CC;245501242;CC du Pays d'Étain;5.634955;49.21397
CC;245501259;CC du Pays de Montmédy;5.378175;49.522383
CC;245600440;CC de Blavet Bellevue Océan;-3.24687;47.724905
CC;245600465;CC de Belle-Île-en-Mer;-3.167376;47.340398
CC;245614383;CC Questembert Communauté;-2.435474;47.665587
CC;245614417;CC Roi Morvan Communauté;-3.598166;48.1275
CC;245614433;CC Pontivy Communauté;-2.975174;48.065625
CC;245700133;CC du District Urbain de Faulquemont (DUF);6.594524;49.040652
CA;245700372;CA de Forbach Porte de France;6.893798;49.190789
CC;245700398;CC de Freyming-Merlebach;6.802779;49.151577
CC;245700695;CC de Cattenom et Environs;6.238493;49.406377
CC;245700950;CC du Pays de Phalsbourg;7.228641;48.77046
CC;245701164;CC du Warndt;6.690135;49.209495
CC;245701206;CC du Saulnois;6.501427;48.820539
CA;245701222;CA du Val de Fensch;6.068399;49.333471
CC;245701271;CC du Pays Orne Moselle;6.085404;49.248891
CC;245701354;CC de l'Arc Mosellan;6.282317;49.316097
CA;245701362;CA Portes de France-Thionville;6.150553;49.370617
CC;245701404;CC du Pays Haut Val d'Alzette;5.949476;49.469003
CC;245801063;CC Loire et Allier;3.169345;46.856773
CA;245804406;CA de Nevers;3.160778;46.988535
CC;245804497;CC du Nivernais Bourbonnais;3.136237;46.78747
CU;245900428;CU de Dunkerque;2.344374;51.028251
CC;245900758;CC Flandre Lys;2.72984;50.626727
CC;245901038;CC du Pays Solesmois;3.512854;50.183735
CC;245901152;CC Cœur d'Ostrevent;3.168655;50.338609
CA;245901160;CA Valenciennes Métropole;3.510438;50.358552
CC;246000129;CC du Liancourtois;2.445801;49.297753
CC;246000376;CC du Clermontois;2.413758;49.37814
CC;246000566;CC du Plateau Picard;2.451597;49.511402
CC;246000582;CC des Sablons;2.075451;49.237627
CC;246000707;CC du Vexin-Thelle;1.881972;49.267125
CC;246000749;CC des Lisières de l'Oise;3.043308;49.419568
CC;246000756;CC du Pays Noyonnais;3.003812;49.584517
CC;246000764;CC de l'Aire Cantilienne;2.461897;49.188222
CC;246000772;CC des Deux Vallées;2.880679;49.478981
CC;246000848;CC de la Picardie Verte;1.736158;49.647187
CC;246000855;CC du Pays des Sources;2.745909;49.53991
CC;246000871;CC du Pays de Valois;2.893527;49.234294
CC;246000897;CC de la Plaine d'Estrées;2.645197;49.428453
CC;246000913;CC du Pays de Bray;1.91199;49.451446
CC;246000921;CC des Pays d'Oise et d'Halatte;2.60379;49.309303
CC;246100390;CC du Val d'Orne;-0.293705;48.767308
CU;246100663;CU d'Alençon;0.092935;48.429859
CA;246200299;CA d'Hénin-Carvin;2.951562;50.420666
CA;246200364;CA de Lens - Liévin;2.81908;50.437662
CC;246200380;CC de la Terre des Deux Caps;1.706168;50.810397
CA;246200729;CA du Boulonnais;1.610597;50.726334
CC;246200844;CC de la Région d'Audruicq;2.083412;50.884115
CC;246201016;CC du Pays de Lumbres;2.11448;50.706707
MET;246300701;Clermont Auvergne Métropole;3.107042;45.786671
CC;246300966;CC du Massif du Sancy;2.801854;45.569317
CC;246301097;CC Entre Dore et Allier;3.383285;45.834425
CC;246400337;CC de la Vallée d'Ossau;-0.430831;43.104571
CC;246401756;CC Pays de Nay;-0.219864;43.19066
CC;246500482;CC de la Haute-Bigorre;0.128609;42.999349
CC;246500573;CC Aure Louron;0.360969;42.905103
CC;246600282;CC Sud-Roussillon;3.015115;42.620133
CC;246600373;CC du Vallespir;2.757013;42.489043
CC;246600399;CC Pyrénées Cerdagne;2.035913;42.458645
CC;246600415;CC Roussillon-Conflent;2.623055;42.673478
CC;246600423;CC Agly Fenouillèdes;2.502907;42.810307
CC;246600449;CC des Aspres;2.757167;42.640605
CC;246600464;CC Pyrénées catalanes;2.123328;42.526696
CC;246600548;CC du Haut Vallespir;2.627411;42.454658
CC;246700306;CC de la Vallée de la Bruche;7.197226;48.482455
MET;246700488;Eurométropole de Strasbourg;7.761454;48.579831
CC;246700744;CC des Portes de Rosheim;7.404449;48.495919
CC;246700777;CC de la Vallée de Villé;7.282581;48.335158
CC;246700843;CC de la Basse-Zorn;7.786642;48.687614
CC;246700926;CC du Pays de Wissembourg;7.95274;49.014204
CC;246700959;CC du Pays de la Zorn;7.571046;48.748246
CC;246700967;CC de Sélestat;7.45087;48.263968
CC;246701064;CC de la Région de Molsheim-Mutzig;7.50352;48.540123
CC;246701080;CC du Pays de Sainte-Odile;7.470625;48.462885
CC;246701098;CC du Pays de Niederbronn-les-Bains;7.641224;48.959855
CC;246800205;CC de la Vallée de Saint-Amarin;7.03331;47.880515
CC;246800395;CC du Val d'Argent;7.217293;48.269426
CC;246800445;CC du Centre du Haut-Rhin;7.348355;47.866195
CC;246800494;CC du Pays de Rouffach,Vignobles et Châteaux;7.305052;47.95838
CC;246800551;CC de la Vallée de Kaysersberg;7.267205;48.13961
CC;246800569;CC de la Région de Guebwiller;7.212694;47.909218
CC;246800577;CC du Pays de Ribeauvillé;7.30831;48.198432
CC;246800585;CC de la Vallée de Munster;7.14216;48.042874
CC;246800676;CC de la Vallée de la Doller et du Soultzbach;6.988877;47.771869
CA;246800726;CA Colmar Agglomération;7.352569;48.081502
CC;246900575;CC de l'Est Lyonnais (CCEL);5.103058;45.721639
CC;246900625;CC du Pays de l'Arbresle (CCPA);4.610769;45.834405
CC;246900724;CC des Vallons du Lyonnais (CCVL);4.653848;45.726545
CC;246900740;CC du Pays Mornantais (COPAMO);4.67572;45.61219
CC;246900757;CC de la Vallée du Garon (CCVG);4.753938;45.674704
CC;246900765;CC du Pays de l'Ozon;4.872336;45.639273
CA;247000011;CA de Vesoul;6.157979;47.628692
CC;247000367;CC des Combes;5.971019;47.663278
CC;247000623;CC des Quatre Rivières;5.679138;47.558567
CC;247000664;CC du Pays de Lure;6.497007;47.684098
CC;247000698;CC des Monts de Gy;5.814024;47.408135
CC;247000706;CC du Pays Riolais;6.084727;47.427093
CC;247000714;CC du Pays de Villersexel;6.433516;47.551621
CC;247000722;CC du Pays d'Héricourt;6.754797;47.566726
CC;247000755;CC du Pays de Luxeuil;6.372699;47.817996
CC;247000821;CC Rahin et Chérimont;6.621423;47.71047
CC;247000854;CC des 1000 étangs;6.564513;47.761255
CU;247100290;CU Le Creusot Montceau-les-Mines;4.426656;46.806421
